Название кружка;Направление;Поставщик;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Школа танца Юлии Трестер;Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Эстрадно-спортивный ансамбль "Танц - Класс";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Эстрадный танец (Миллениум);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Образцовая театр-струдия "Веселые человечки";Художественно-эстетическое;Детская школа искусств Мотовилихинского района г. Перми;г Пермь, ул Постаногова, 1, корп. а;215-34-10    215-27-30;Зеленина Елена Валерьевна;http://www.dsimoto.org.ru;56.323156;58.030804
хореография ТСК "Калейдоскоп";Художественно-эстетическое;Детско-юношеский центр "Антей";г Пермь, ул Юрша, 56, корп. a;266-85-10, 266-32-62;Шатрова Вера Аркадьевна;http://ducantey.ru/;56.308585;58.012052
"Грация";Художественно-эстетическое;Детско-юношеский центр "Здоровье";г Пермь, ул Карпинского, 75;8(342)280-26-32;Епанов Владимир Ильич;http://www.zdorovie.perm.ru;56.218529;57.978562
"Дружба" Хореографический ансамбль;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
"Красава" Хореографический ансамбль;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
"Радость" Хореографический ансамбль;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
FLY TEEN`S;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Бальные танцы;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Классика;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Планета танца;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Хореография;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Ритмика;Художественно-эстетическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Современные танцы;Художественно-эстетическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Спортивный танец;Художественно-эстетическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Черлидинг;Художественно-эстетическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Детский балет;Художественно-эстетическое;Дом детского творчества «Пермячок»;г Пермь, ул Советская, 56;212-97-37, 212-61-49;Балашенко Людмила  Александровна;http://www.permyachok.ru;56.236495;58.014488
Танцевальный коллектив "Городок";Художественно-эстетическое;Дом детского творчества «Пермячок»;г Пермь, ул Советская, 56;212-97-37, 212-61-49;Балашенко Людмила  Александровна;http://www.permyachok.ru;56.236495;58.014488
Танцевальный коллектив "Новое поколение";Художественно-эстетическое;Дом детского творчества «Пермячок»;г Пермь, ул Советская, 56;212-97-37, 212-61-49;Балашенко Людмила  Александровна;http://www.permyachok.ru;56.236495;58.014488
Школа уличного танца "99ПРО";Художественно-эстетическое;Дом детского творчества «Пермячок»;г Пермь, ул Советская, 56;212-97-37, 212-61-49;Балашенко Людмила  Александровна;http://www.permyachok.ru;56.236495;58.014488
Спортивные бальные танцы;Художественно-эстетическое;Муниципальное автономное образовательное учреждение дополнительного образования детей "Детско-юношеский центр "Фаворит" г. Перми";г Пермь, ул Репина, 67а;(342)285-29-42;Поносов Владимир Александрович;http://www.favorit-centr.ru;56.28531;58.111426
Танцевально-хореографическая театр-студия "Веселые человечки";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Танцевальный ансамбль "Scream Dance";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Танцевальный ансамбль "Каскад";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Танцевальный коллектив "Грация";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Театр танца "Ляллен";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Театр танца "Ляллен" (холмогорская);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯРитмика (Веселый калейдоскоп);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯРитмика (ХЭЦ);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТанец (ХЭЦ);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТанцевально-хореографическое объединение "Детство";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТанцевальный коллектив "Дружные ребята";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТанцевальный коллектив "Дэнс";Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТанцы (Радонеж);Художественно-эстетическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
"Клуб арабского танца "Амира";Художественно-эстетическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
"Клуб спортивного танца "Рок-н-ролл";Художественно-эстетическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
"Тин-стрип-клуб "Искушение";Художественно-эстетическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
"Электро-Данс";Художественно-эстетическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
Hip-Hop-клуб;Художественно-эстетическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
Брэйк-данс-клуб;Художественно-эстетическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
Клуб классического танца;Художественно-эстетическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
Клуб социального танца "Сальса-Латина";Художественно-эстетическое;Некоммерческое партнерство «Центр повышения квалификации кадров Пермь-нефть»;г Пермь, б-р Гагарина, 54, корп. а;8(342) 282-05-86, 8(342) 263-43-42;Антонов Игорь Леонидович;http://www.ucpermoil.ru;56.284771;58.002821
Хореографическая студия;Художественно-эстетическое;НОУ "Средняя общеобразовательная школа - детский сад с этнокультурным еврейским компонентом образования "ОР-Авнер ХаБаД"";г Пермь, ул 25 Октября, 43;212-57-54, 212-77-18;Меркушева Татьяна Леонидовна;;56.255207;58.007646
АЗБУКА ТАНЦА;Художественно-эстетическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
СТУДИЯ ТАНЦА;Художественно-эстетическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
ТЕАТР ТАНЦА;Художественно-эстетическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Танцевальное объединение "New friends";Художественно-эстетическое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Flash;Художественно-эстетическое;Центр детского творчества "ИСТОК";Пермь, ул Танцорова, 7;250-25-71;директор Малиновская Татьяна Михайловна;http://istok-perm.ru;56.016911;58.022687
Ziq-zaq;Художественно-эстетическое;Центр детского творчества "ИСТОК";Пермь, ул Танцорова, 7;250-25-71;директор Малиновская Татьяна Михайловна;http://istok-perm.ru;56.016911;58.022687
Студия современного танца "ХОП";Художественно-эстетическое;Центр детского творчества "Сигнал";г Пермь, ул Мира, 8а;(342) 227-42-05;Кузнецова Нина Сергеевна;http://signal-perm.ru;56.203859;57.984913
танцы на колясках "Гротеск плюс";Художественно-эстетическое;Центр детского творчества "Сигнал";г Пермь, ул Мира, 8а;(342) 227-42-05;Кузнецова Нина Сергеевна;http://signal-perm.ru;56.203859;57.984913
Fashion Dance;Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Студия спортивного танца "Стрит Данс";Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Танцевальная студия    "ЭЛЬФ";Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Танцевальная студия "Азарт";Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Танцевальный коллектив "Гармония";Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Хореографическая студия "Вираж";Художественно-эстетическое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
АНТ "Задоринка";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Восточный танец "ЧИНТАМАНИ";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Народный танец;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Современные танцы "Мгновение";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Современный танец;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Сценическое движение;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Театр танца;Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
ТК "Эдельс";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
ТСК "Созвездие";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
ТСК "Этуаль";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Хореографический коллектив "Вдохновение";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Эстрадные танцы "Оранжевое настроение";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Эстрадный танец "Алмаз";Художественно-эстетическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Ансамбль бального танца;Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Образцовый Ансамбль танца "Карусель";Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Образцовый ансамбль танца "Конфетти";Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Образцовый ансамбль танца "Уральские самоцветы";Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Студия эстрадного танца "VIP";Художественно-эстетическое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Конфетти;Художественно-эстетическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Реверанс;Художественно-эстетическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Ритмическая мозаика;Художественно-эстетическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Экзерсис;Художественно-эстетическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Элегия;Художественно-эстетическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Эстрадно-спортивный танец "Freedom";Художественно-эстетическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
ТАНЦЕВАЛЬНАЯ МОЗАИКА;Художественно-эстетическое;Центр дополнительного образования для детей "Луч" г.Перми;г Пермь, ул Елькина, 3;290-29-90;Соломинина Светлана Александровна;http://luchperm.ru/;56.23716;57.99787
Ансамбль "Ассоль";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль "Веснушки";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль "Гренада";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль "Дружба";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль "Лада";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль "Мелодия";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль "Эхо";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль (Воскресение);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль (Надежда);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Ансамбль (Тишина);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Вокал (Воскресение);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Вокал (Хоровые коллективы);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Вокальный ансамбль "Вдохновение" 55;Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Вокальный ансамбль "Колокольчик";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Вокальный ансамбль "Солнышко";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Сценическое движение (Искорки, Мелодия);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хор "Звоночек";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хор "Искорки";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хор "Канцонетта" 82 школа;Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хор "Фасольки";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хор девочек "Жаворонок";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хор мальчиков "Камертон";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хор мальчиков "Садко";Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хоровое пение;Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хоровое пение (Искорки);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Хоровое пение (Мелодия);Художественно-эстетическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
ХОР (комплекс);Художественно-эстетическое;Детская школа искусств Мотовилихинского района г. Перми;г Пермь, ул Постаногова, 1, корп. а;215-34-10    215-27-30;Зеленина Елена Валерьевна;http://www.dsimoto.org.ru;56.323156;58.030804
Хор общеэстэтический;Художественно-эстетическое;Детская школа искусств Мотовилихинского района г. Перми;г Пермь, ул Постаногова, 1, корп. а;215-34-10    215-27-30;Зеленина Елена Валерьевна;http://www.dsimoto.org.ru;56.323156;58.030804
младший хор "Капельки";Художественно-эстетическое;Детско-юношеский центр "Антей";г Пермь, ул Юрша, 56, корп. a;266-85-10, 266-32-62;Шатрова Вера Аркадьевна;http://ducantey.ru/;56.308585;58.012052
старший хор "Солнечная капель";Художественно-эстетическое;Детско-юношеский центр "Антей";г Пермь, ул Юрша, 56, корп. a;266-85-10, 266-32-62;Шатрова Вера Аркадьевна;http://ducantey.ru/;56.308585;58.012052
Ансамбль (вокал Семёновой);Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Вокал;Художественно-эстетическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
